epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1687.93,0.6515,0.35094,0.88268,0.98938,0.99285,0.9922,0.7336,0.86503,0.36368,0.95384,0.000214497,0.000214497,0.000214497
77,1710,0.63672,0.35087,0.88461,0.9882,0.99285,0.99251,0.73981,0.83319,0.35331,0.95076,0.000206251,0.000206251,0.000206251
78,1732.04,0.63391,0.33944,0.88755,0.99071,0.99158,0.99251,0.75315,0.8314,0.34441,0.95174,0.000198004,0.000198004,0.000198004
79,1754.09,0.64623,0.34122,0.88814,0.9837,0.99285,0.99229,0.77445,0.79811,0.34505,0.93505,0.000189757,0.000189757,0.000189757
80,1776.14,0.62688,0.34095,0.87944,0.98854,0.99653,0.99329,0.74854,0.86253,0.34907,0.95043,0.000181511,0.000181511,0.000181511
81,1798.23,0.62651,0.34079,0.88496,0.99296,0.99653,0.99343,0.72236,0.87097,0.35896,0.96626,0.000173264,0.000173264,0.000173264
82,1820.26,0.63001,0.34032,0.89196,0.99492,0.99653,0.99371,0.74227,0.83261,0.34933,0.94621,0.000165017,0.000165017,0.000165017
83,1842.34,0.63122,0.3432,0.88278,0.99643,0.99653,0.99378,0.76887,0.82592,0.33272,0.94462,0.000156771,0.000156771,0.000156771
84,1864.4,0.64306,0.34612,0.88622,0.99296,0.99653,0.99343,0.73871,0.86049,0.34621,0.95006,0.000148524,0.000148524,0.000148524
85,1886.45,0.63836,0.3389,0.88801,0.99268,0.99653,0.99371,0.76246,0.81616,0.33708,0.93831,0.000140277,0.000140277,0.000140277
86,1908.52,0.63867,0.33779,0.89043,0.98938,0.99285,0.99251,0.75138,0.79502,0.33415,0.93613,0.000132031,0.000132031,0.000132031
87,1930.57,0.63471,0.33307,0.88232,0.99286,0.99285,0.99255,0.77892,0.76766,0.32993,0.92779,0.000123784,0.000123784,0.000123784
88,1952.63,0.62664,0.33394,0.88401,0.99286,0.99285,0.99255,0.75213,0.83342,0.34208,0.94378,0.000115537,0.000115537,0.000115537
89,1974.69,0.61405,0.32998,0.87629,0.99286,0.99285,0.99255,0.7602,0.81265,0.33118,0.93806,0.00010729,0.00010729,0.00010729
90,1996.76,0.61892,0.33126,0.88114,0.99643,0.99653,0.99378,0.74608,0.82742,0.32698,0.93996,9.90437e-05,9.90437e-05,9.90437e-05
91,2019.83,0.59106,0.29246,0.86475,0.99643,0.99653,0.99378,0.73209,0.84741,0.33582,0.94105,9.0797e-05,9.0797e-05,9.0797e-05
92,2042.06,0.58405,0.29021,0.85915,0.99643,0.99653,0.99378,0.75318,0.83356,0.34212,0.93975,8.25503e-05,8.25503e-05,8.25503e-05
93,2063.97,0.5832,0.29343,0.86156,0.99643,0.99653,0.99378,0.72979,0.87547,0.34142,0.95657,7.43036e-05,7.43036e-05,7.43036e-05
94,2085.94,0.58716,0.28755,0.86929,0.99643,0.99653,0.99378,0.76033,0.82289,0.32677,0.93929,6.60569e-05,6.60569e-05,6.60569e-05
95,2107.91,0.57803,0.2852,0.86457,0.99643,0.99653,0.99378,0.74322,0.84287,0.3308,0.94536,5.78102e-05,5.78102e-05,5.78102e-05
96,2129.88,0.57704,0.28361,0.86131,0.99533,0.99653,0.99374,0.76069,0.81427,0.32438,0.94009,4.95635e-05,4.95635e-05,4.95635e-05
97,2151.82,0.57299,0.28059,0.86027,0.99544,0.99653,0.99374,0.75114,0.8267,0.32589,0.94533,4.13168e-05,4.13168e-05,4.13168e-05
98,2173.77,0.57344,0.2827,0.86002,0.99532,0.99653,0.99378,0.74539,0.84478,0.32898,0.94791,3.30701e-05,3.30701e-05,3.30701e-05
99,2195.69,0.56637,0.27785,0.8617,0.99643,0.99653,0.99378,0.76443,0.82296,0.32291,0.93931,2.48234e-05,2.48234e-05,2.48234e-05
100,2217.71,0.56765,0.27685,0.86304,0.99643,0.99653,0.99378,0.7598,0.82824,0.32113,0.94027,1.65767e-05,1.65767e-05,1.65767e-05
